iter	Passed	Remaining
455	933	1114
456	935	1111
457	936	1108
458	938	1106
459	940	1103
460	941	1100
461	943	1098
462	944	1095
463	945	1092
464	947	1090
465	949	1087
466	950	1084
467	952	1082
468	953	1080
469	955	1077
470	957	1075
471	959	1073
472	960	1070
473	962	1068
474	964	1065
475	966	1063
476	967	1060
477	969	1059
478	971	1056
479	973	1054
480	974	1051
481	976	1049
482	977	1046
483	984	1049
484	985	1046
485	987	1044
486	989	1042
487	990	1039
488	992	1037
489	993	1034
490	995	1032
491	997	1029
492	999	1027
493	1000	1024
494	1002	1022
495	1003	1020
496	1005	1017
497	1007	1015
498	1008	1012
499	1010	1010
500	1012	1008
501	1013	1005
502	1014	1002
503	1016	1000
504	1017	997
505	1019	995
506	1020	992
507	1022	990
508	1023	987
509	1025	985
510	1027	983
511	1028	980
512	1030	977
513	1031	975
514	1033	973
515	1035	970
516	1037	969
517	1039	966
518	1040	964
519	1042	962
520	1043	959
521	1045	957
522	1046	954
523	1048	952
524	1049	949
525	1051	947
526	1053	945
527	1055	943
528	1056	940
529	1058	938
530	1059	935
531	1060	933
532	1062	931
533	1064	928
534	1065	926
535	1067	924
536	1068	921
537	1069	918
538	1071	916
539	1072	913
540	1074	911
541	1075	908
542	1077	906
543	1078	904
544	1080	901
545	1081	899
546	1083	896
547	1084	894
548	1085	891
549	1086	889
550	1088	886
551	1089	884
552	1090	881
553	1092	879
554	1100	882
555	1101	879
556	1102	877
557	1104	874
558	1106	872
559	1107	870
560	1109	868
561	1111	865
562	1112	863
563	1113	861
564	1115	858
565	1116	856
566	1118	853
567	1119	851
568	1120	849
569	1122	846
570	1123	844
571	1124	841
572	1126	839
573	1128	837
574	1129	835
575	1131	832
576	1132	830
577	1134	828
578	1135	825
579	1137	823
580	1139	821
581	1140	819
582	1141	816
583	1143	814
584	1144	812
585	1145	809
586	1147	807
587	1149	805
588	1150	803
589	1152	800
590	1153	798
591	1154	795
592	1155	793
593	1156	790
594	1157	787
595	1158	785
596	1159	782
597	1160	780
598	1161	777
599	1162	775
600	1164	772
601	1165	770
602	1166	767
603	1167	765
604	1168	762
605	1169	760
606	1170	757
607	1171	755
608	1173	753
609	1174	751
610	1176	748
611	1177	746
612	1178	744
613	1180	741
614	1181	739
615	1183	737
616	1184	735
617	1185	733
618	1188	731
619	1190	729
620	1191	727
621	1194	725
622	1195	723
623	1197	721
624	1198	719
625	1199	716
626	1201	714
627	1202	712
628	1204	710
629	1205	708
630	1207	706
631	1209	704
632	1210	701
633	1212	700
634	1214	698
635	1218	697
636	1219	695
637	1221	692
638	1222	690
639	1224	688
640	1225	686
641	1226	684
642	1229	682
643	1231	680
644	1233	678
645	1234	676
646	1254	684
647	1255	682
648	1256	679
649	1257	677
650	1259	675
651	1260	672
652	1261	670
653	1262	667
654	1263	665
655	1264	663
656	1266	660
657	1267	658
658	1289	667
659	1290	664
660	1291	662
661	1292	660
662	1294	657
663	1295	655
664	1296	653
665	1298	651
666	1300	649
667	1302	647
668	1303	644
669	1311	645
670	1312	643
671	1314	641
672	1316	639
673	1318	637
674	1320	635
675	1321	633
676	1323	631
677	1324	628
678	1325	626
679	1328	625
680	1329	622
681	1332	621
682	1333	619
683	1335	616
684	1336	614
685	1338	612
686	1341	611
687	1342	608
688	1344	606
689	1345	604
690	1347	602
691	1348	600
692	1350	598
693	1351	596
694	1353	593
695	1354	591
696	1356	589
697	1357	587
698	1358	585
699	1360	582
700	1361	580
701	1370	581
702	1372	579
703	1373	577
704	1375	575
705	1376	573
706	1378	571
707	1379	568
708	1380	566
709	1382	564
710	1383	562
711	1385	560
712	1387	558
713	1388	556
714	1395	556
715	1397	554
716	1398	551
717	1400	549
718	1402	548
719	1404	546
720	1405	543
721	1406	541
722	1407	539
723	1408	537
724	1410	534
725	1415	534
726	1417	532
727	1418	530
728	1419	527
729	1422	525
730	1423	523
731	1424	521
732	1426	519
733	1427	517
734	1429	515
735	1431	513
736	1432	511
737	1434	509
738	1435	507
739	1437	505
740	1438	502
741	1440	500
742	1442	498
743	1443	496
744	1445	494
745	1448	493
746	1449	490
747	1450	488
748	1452	486
749	1453	484
750	1454	482
751	1456	480
752	1457	478
753	1459	476
754	1460	474
755	1462	471
756	1463	469
757	1464	467
758	1465	465
759	1467	463
760	1468	461
761	1470	459
762	1471	457
763	1473	455
764	1474	452
765	1477	451
766	1478	449
767	1480	447
768	1481	445
769	1483	443
770	1484	440
771	1486	438
772	1487	436
773	1489	434
774	1490	432
775	1491	430
776	1493	428
777	1494	426
778	1495	424
779	1496	422
780	1498	420
781	1500	418
782	1501	416
783	1503	414
784	1504	412
785	1507	410
786	1508	408
787	1511	406
788	1512	404
789	1513	402
790	1515	400
791	1516	398
792	1518	396
793	1519	394
794	1521	392
795	1522	390
796	1524	388
797	1525	386
798	1527	384
799	1528	382
800	1530	380
801	1531	378
802	1533	376
803	1534	374
804	1536	372
805	1537	370
806	1539	368
807	1540	366
808	1541	364
809	1543	361
810	1547	360
811	1549	358
812	1550	356
813	1552	354
814	1553	352
815	1554	350
816	1556	348
817	1557	346
818	1559	344
819	1560	342
820	1562	340
821	1563	338
822	1565	336
823	1567	334
824	1569	332
825	1570	330
826	1572	328
827	1573	326
828	1575	324
829	1576	322
830	1577	320
831	1579	318
832	1580	316
833	1582	314
834	1583	312
835	1586	311
836	1588	309
837	1589	307
838	1591	305
839	1593	303
840	1594	301
841	1596	299
842	1597	297
843	1598	295
844	1599	293
845	1601	291
846	1602	289
847	1604	287
848	1605	285
849	1606	283
850	1607	281
851	1608	279
852	1609	277
853	1610	275
854	1621	275
855	1622	273
856	1624	271
857	1625	269
858	1627	267
859	1629	265
860	1631	263
861	1632	261
862	1634	259
863	1636	257
864	1637	255
865	1639	253
866	1640	251
867	1641	249
868	1648	248
869	1649	246
870	1650	244
871	1651	242
872	1654	240
873	1656	238
874	1657	236
875	1658	234
876	1667	233
877	1669	231
878	1671	230
879	1672	228
880	1674	226
881	1675	224
882	1676	222
883	1677	220
884	1679	218
885	1683	216
886	1684	214
887	1685	212
888	1687	210
889	1688	208
890	1689	206
891	1691	204
892	1693	202
893	1694	200
894	1696	198
895	1697	197
896	1699	195
897	1700	193
898	1701	191
899	1703	189
900	1704	187
901	1705	185
902	1707	183
903	1708	181
904	1711	179
905	1713	177
906	1715	175
907	1716	173
908	1718	172
909	1719	170
910	1721	168
911	1722	166
912	1724	164
913	1725	162
914	1726	160
915	1728	158
916	1729	156
917	1731	154
918	1732	152
919	1734	150
920	1735	148
921	1736	146
922	1739	145
923	1740	143
924	1741	141
925	1742	139
926	1743	137
927	1745	135
928	1748	133
929	1759	132
930	1760	130
931	1761	128
932	1762	126
933	1763	124
934	1764	122
935	1765	120
936	1767	118
937	1768	116
938	1769	114
939	1780	113
940	1801	112
941	1802	111
942	1804	109
943	1805	107
944	1806	105
945	1807	103
946	1809	101
947	1810	99
948	1819	97
949	1821	95
950	1823	93
951	1824	92
952	1826	90
953	1827	88
954	1829	86
955	1831	84
956	1833	82
957	1834	80
958	1838	78
959	1839	76
960	1841	74
961	1842	72
962	1844	70
963	1845	68
964	1846	66
965	1848	65
966	1850	63
967	1851	61
968	1852	59
969	1854	57
970	1856	55
971	1858	53
972	1860	51
973	1861	49
974	1863	47
975	1864	45
976	1866	43
977	1867	42
978	1868	40
979	1870	38
980	1872	36
981	1873	34
982	1875	32
983	1877	30
984	1878	28
985	1879	26
986	1882	24
987	1885	22
988	1887	20
989	1888	19
990	1890	17
991	1892	15
992	1893	13
993	1895	11
994	1896	9
995	1898	7
996	1900	5
997	1901	3
998	1903	1
999	1904	0
